		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air	Temp	Temp	Temp	Hum	Hum		Soil 1	Soil 2	Soil 3	Soil 4	Soil 	Soil 	Soil 	Soil 	Leaf	Leaf	Leaf 	Leaf 	Wind	Wind	ISS 	Arc.
01/18/22	4:30 a	0.9	0.9	0.3	56	-6.9	14.5	WNW	7.24	22.5	W	-3.2	0.5	-3.6	---	1017.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.362	0.000	11.6	46	0.3	10.6	8.85	1.2376	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	698	1	100.0	30
01/18/22	5:00 a	0.8	1.1	0.8	56	-7.0	16.1	WNW	8.05	25.7	WNW	-3.6	0.3	-4.1	---	1017.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.366	0.000	11.5	46	0.3	10.6	8.85	1.2382	---	---	---	---	---	0.05	---	---	---	---	---	---	---	---	---	---	---	---	700	1	100.0	30
01/18/22	5:30 a	0.6	0.8	0.5	58	-6.8	16.1	WNW	8.05	24.1	WNW	-3.9	0.2	-4.3	---	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.370	0.000	11.4	46	0.2	10.5	8.85	1.2390	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	700	1	100.0	30
01/18/22	6:00 a	0.4	0.6	0.4	59	-6.7	14.5	WNW	7.24	22.5	WNW	-3.8	0.0	-4.2	---	1018.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.374	0.000	11.4	46	0.2	10.4	8.85	1.2397	---	---	---	---	---	0.05	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
01/18/22	6:30 a	0.0	0.4	0.0	61	-6.6	14.5	WNW	7.24	24.1	WNW	-4.3	-0.4	-4.7	---	1018.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.382	0.000	11.3	46	0.1	10.4	8.85	1.2406	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	690	1	100.0	30
01/18/22	7:00 a	-0.1	0.1	-0.1	61	-6.7	12.9	WNW	6.44	20.9	WNW	-4.1	-0.4	-4.4	---	1019.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.383	0.000	11.3	46	0.1	10.3	8.85	1.2412	---	---	---	---	---	0.05	---	---	---	---	---	---	---	---	---	---	---	---	687	1	100.0	30
01/18/22	7:30 a	-0.4	0.0	-0.5	63	-6.6	9.7	WNW	4.83	20.9	NW	-3.7	-0.8	-4.1	---	1019.3	0.00	0.0	8	0.34	19	0.0	0.00	0.0	0.391	0.000	11.2	46	0.0	10.3	8.85	1.2418	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	696	1	100.0	30
01/18/22	8:00 a	-0.1	-0.1	-0.4	62	-6.5	6.4	WNW	3.22	17.7	W	-2.2	-0.4	-2.6	---	1019.6	0.00	0.0	53	2.28	88	0.0	0.00	0.0	0.383	0.000	11.2	46	0.0	10.3	8.85	1.2422	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	699	1	100.0	30
01/18/22	8:30 a	0.1	0.1	-0.1	63	-6.1	11.3	W	5.63	20.9	W	-3.5	-0.2	-3.8	---	1019.8	0.00	0.0	146	6.28	195	0.0	0.00	0.0	0.380	0.000	11.3	45	-0.2	10.4	8.70	1.2421	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
01/18/22	9:00 a	1.0	1.0	0.1	62	-5.5	12.9	W	6.44	19.3	WNW	-2.8	0.6	-3.2	---	1020.3	0.00	0.0	232	9.98	271	0.0	0.00	0.0	0.361	0.000	11.3	44	-0.5	10.3	8.50	1.2428	---	---	---	---	---	0.10	---	---	---	---	---	---	---	---	---	---	---	---	700	1	100.0	30
01/18/22	9:30 a	2.3	2.3	1.0	59	-4.9	11.3	WNW	5.63	24.1	WNW	-0.8	1.9	-1.2	---	1020.6	0.00	0.0	311	13.37	345	0.2	0.04	0.5	0.333	0.000	11.4	44	-0.4	10.4	8.50	1.2429	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	690	1	100.0	30
01/18/22	10:00 a	3.3	3.3	2.3	60	-3.7	12.9	NNW	6.44	20.9	WNW	0.1	2.9	-0.3	---	1020.8	0.00	0.0	384	16.51	415	0.7	0.15	0.8	0.313	0.000	11.4	45	-0.1	10.4	8.70	1.2428	---	---	---	---	---	0.15	---	---	---	---	---	---	---	---	---	---	---	---	703	1	100.0	30
01/18/22	10:30 a	4.2	4.3	3.3	62	-2.4	11.3	NNW	5.63	22.5	NW	1.5	3.8	1.1	---	1020.8	0.00	0.0	445	19.14	471	0.9	0.19	1.0	0.294	0.000	11.6	44	-0.2	10.6	8.49	1.2421	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	689	1	100.0	30
01/18/22	11:00 a	4.9	4.9	4.3	62	-1.7	12.9	NNW	6.44	22.5	NNW	2.1	4.5	1.6	---	1020.4	0.00	0.0	495	21.29	515	1.1	0.24	1.2	0.279	0.000	11.7	44	-0.1	10.7	8.49	1.2411	---	---	---	---	---	0.23	---	---	---	---	---	---	---	---	---	---	---	---	700	1	100.0	30
01/18/22	11:30 a	5.8	5.8	4.9	63	-0.7	9.7	NNW	4.83	20.9	NNW	3.7	5.4	3.3	---	1020.0	0.00	0.0	532	22.88	547	1.3	0.28	1.3	0.260	0.000	13.5	41	0.5	12.2	7.98	1.2326	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	695	1	100.0	30
01/18/22	12:00 p	7.1	7.1	5.9	60	-0.2	9.7	NNW	4.83	16.1	WNW	5.2	6.6	4.7	---	1019.7	0.00	0.0	556	23.91	563	1.4	0.30	1.4	0.235	0.000	15.6	39	1.7	14.1	7.65	1.2225	---	---	---	---	---	0.25	---	---	---	---	---	---	---	---	---	---	---	---	698	1	100.0	30
01/18/22	12:30 p	7.4	7.5	6.9	59	-0.1	8.0	NNW	4.02	19.3	NW	6.0	7.0	5.6	---	1019.0	0.00	0.0	567	24.38	570	1.4	0.30	1.4	0.227	0.000	17.6	37	2.7	15.9	7.35	1.2129	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	693	1	100.0	30
01/18/22	1:00 p	8.2	8.3	7.4	57	0.2	8.0	WNW	4.02	14.5	NW	6.9	7.7	6.4	---	1018.8	0.00	0.0	561	24.13	568	1.4	0.30	1.4	0.211	0.000	17.9	37	3.0	16.3	7.35	1.2111	---	---	---	---	---	0.28	---	---	---	---	---	---	---	---	---	---	---	---	700	1	100.0	30
01/18/22	1:30 p	9.1	9.2	8.2	54	0.3	6.4	WNW	3.22	14.5	W	8.3	8.6	7.8	---	1018.6	0.00	0.0	541	23.27	552	1.3	0.28	1.3	0.192	0.000	17.9	36	2.6	16.3	7.16	1.2107	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	696	1	100.0	30
01/18/22	2:00 p	9.5	9.6	9.0	51	-0.1	6.4	NW	3.22	16.1	W	8.8	8.8	8.1	---	1018.3	0.00	0.0	506	21.76	524	1.1	0.24	1.2	0.184	0.000	16.3	37	1.6	14.7	7.35	1.2178	---	---	---	---	---	0.25	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
01/18/22	2:30 p	9.8	9.9	9.4	49	-0.4	6.4	NNW	3.22	16.1	NW	9.2	9.2	8.5	---	1018.2	0.00	0.0	460	19.78	482	0.9	0.19	1.0	0.177	0.000	14.6	40	1.1	13.2	7.85	1.2252	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
01/18/22	3:00 p	10.1	10.2	9.8	49	-0.1	4.8	N	2.41	14.5	N	9.9	9.4	9.3	---	1018.0	0.00	0.0	402	17.29	431	0.7	0.15	0.8	0.171	0.000	13.8	42	1.1	12.4	8.15	1.2286	---	---	---	---	---	0.23	---	---	---	---	---	---	---	---	---	---	---	---	696	1	100.0	30
01/18/22	3:30 p	10.3	10.4	10.0	46	-0.9	4.8	NNE	2.41	14.5	NNW	10.2	9.5	9.4	---	1018.0	0.00	0.0	333	14.32	369	0.3	0.06	0.6	0.168	0.000	13.3	43	0.9	12.0	8.27	1.2308	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	696	1	100.0	30
01/18/22	4:00 p	10.2	10.4	10.2	46	-0.9	6.4	NNE	3.22	16.1	NNE	9.6	9.4	8.8	---	1017.8	0.00	0.0	259	11.14	297	0.0	0.00	0.0	0.169	0.000	12.9	43	0.6	11.7	8.26	1.2322	---	---	---	---	---	0.18	---	---	---	---	---	---	---	---	---	---	---	---	697	1	100.0	30
01/18/22	4:30 p	10.5	10.5	10.2	47	-0.4	3.2	ENE	1.61	8.0	NE	10.5	9.7	9.7	---	1017.7	0.00	0.0	163	7.01	213	0.0	0.00	0.0	0.163	0.000	12.7	44	0.7	11.5	8.45	1.2333	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	698	1	100.0	30
01/18/22	5:00 p	9.6	10.5	9.6	54	0.7	6.4	NNE	3.22	14.5	NNE	8.8	9.0	8.3	---	1017.7	0.00	0.0	65	2.80	107	0.0	0.00	0.0	0.183	0.000	12.4	44	0.5	11.3	8.46	1.2343	---	---	---	---	---	0.08	---	---	---	---	---	---	---	---	---	---	---	---	696	1	100.0	30
01/18/22	5:30 p	8.8	9.6	8.8	53	-0.2	6.4	NNE	3.22	12.9	NNE	8.1	8.2	7.4	---	1017.9	0.00	0.0	11	0.47	26	0.0	0.00	0.0	0.198	0.000	12.2	45	0.6	11.1	8.67	1.2354	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
01/18/22	6:00 p	8.3	8.8	8.3	56	0.0	4.8	NE	2.41	9.7	NNE	7.9	7.7	7.3	---	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.209	0.000	12.1	45	0.5	11.0	8.68	1.2362	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	692	1	100.0	30
01/18/22	6:30 p	7.9	8.3	7.9	59	0.4	3.2	NE	1.61	8.0	NE	7.9	7.4	7.4	---	1018.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.218	0.000	11.9	45	0.4	10.9	8.68	1.2368	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	703	1	100.0	30
01/18/22	7:00 p	7.4	7.9	7.4	63	0.9	1.6	NE	0.80	6.4	NE	7.4	7.1	7.1	---	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.227	0.000	11.8	46	0.6	10.8	8.85	1.2372	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	690	1	100.0	30
01/18/22	7:30 p	7.2	7.5	7.2	66	1.3	1.6	NE	0.80	4.8	NE	7.2	6.8	6.8	---	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.231	0.000	11.8	46	0.5	10.8	8.85	1.2374	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	702	1	100.0	30
01/18/22	8:00 p	6.9	7.2	6.9	67	1.2	1.6	NE	0.80	3.2	NE	6.9	6.6	6.6	---	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.237	0.000	11.7	46	0.5	10.7	8.85	1.2377	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	695	1	100.0	30
01/18/22	8:30 p	6.1	6.9	6.1	69	0.8	0.0	NE	0.00	1.6	NE	6.1	5.8	5.8	---	1018.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.255	0.000	11.6	46	0.4	10.7	8.85	1.2383	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
01/18/22	9:00 p	3.9	6.1	3.9	75	-0.1	1.6	NE	0.80	6.4	E	3.9	3.7	3.7	---	1017.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.300	0.000	11.6	47	0.7	10.7	8.99	1.2380	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	699	1	100.0	30
01/18/22	9:30 p	4.1	4.1	3.8	77	0.4	0.0	E	0.00	1.6	E	4.1	3.8	3.8	---	1017.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.297	0.000	11.5	47	0.6	10.6	9.00	1.2381	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	695	1	100.0	30
01/18/22	10:00 p	3.3	4.1	3.3	76	-0.6	0.0	SE	0.00	6.4	ESE	3.3	3.1	3.1	---	1017.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.314	0.000	11.5	47	0.6	10.6	9.00	1.2382	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	691	1	100.0	30
01/18/22	10:30 p	2.8	3.3	2.3	82	0.1	3.2	SSE	1.61	8.0	SSE	2.6	2.7	2.4	---	1017.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.323	0.000	11.4	47	0.5	10.5	9.00	1.2383	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	700	1	100.0	30
01/18/22	11:00 p	3.1	3.1	2.6	81	0.2	1.6	SSE	0.80	6.4	SSE	3.1	2.9	2.9	---	1017.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.317	0.000	11.4	47	0.5	10.4	9.00	1.2384	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	700	1	100.0	30
01/18/22	11:30 p	2.7	3.2	2.7	80	-0.4	1.6	SSE	0.80	3.2	SSE	2.7	2.5	2.5	---	1016.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.326	0.000	11.3	47	0.4	10.4	9.00	1.2378	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
01/19/22	12:00 a	2.3	2.7	1.9	82	-0.5	0.0	SSE	0.00	3.2	SSE	2.3	2.1	2.1	---	1016.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.334	0.000	11.3	47	0.4	10.4	9.00	1.2385	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	688	1	100.0	30
01/19/22	12:30 a	1.3	2.3	1.3	82	-1.5	1.6	SSE	0.80	6.4	SSE	1.3	1.1	1.1	---	1016.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.355	0.000	11.3	47	0.4	10.4	9.00	1.2380	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	646	1	94.4	30
01/19/22	1:00 a	1.5	1.6	1.2	82	-1.2	3.2	SSE	1.61	6.4	SSE	1.1	1.3	0.9	---	1016.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.351	0.000	11.2	47	0.3	10.3	9.01	1.2379	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	700	1	100.0	30
01/19/22	1:30 a	0.4	1.5	0.4	83	-2.1	4.8	SSE	2.41	8.0	SSE	-1.0	0.3	-1.1	---	1016.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.373	0.000	11.2	47	0.3	10.3	9.01	1.2378	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	700	1	100.0	30
01/19/22	2:00 a	-0.1	0.4	-0.1	84	-2.4	6.4	SSE	3.22	8.0	SSE	-2.2	-0.2	-2.3	---	1016.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.383	0.000	11.2	47	0.3	10.3	9.01	1.2379	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	703	1	100.0	30
01/19/22	2:30 a	-0.2	-0.1	-0.2	83	-2.7	4.8	S	2.41	8.0	S	-1.7	-0.3	-1.8	---	1016.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.385	0.000	11.2	47	0.3	10.3	9.01	1.2379	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
01/19/22	3:00 a	-0.5	-0.1	-0.6	82	-3.2	4.8	SSW	2.41	9.7	SSW	-2.1	-0.7	-2.2	---	1015.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.392	0.000	11.1	47	0.2	10.2	9.01	1.2378	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
01/19/22	3:30 a	-1.0	-0.5	-1.0	80	-4.0	4.8	SSW	2.41	8.0	SSW	-2.6	-1.2	-2.8	---	1015.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.403	0.000	11.1	47	0.2	10.2	9.01	1.2379	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	685	1	100.0	30
01/19/22	4:00 a	-1.7	-0.9	-1.7	81	-4.5	4.8	SSW	2.41	8.0	SSW	-3.4	-1.8	-3.6	---	1015.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.417	0.000	11.0	47	0.1	10.1	9.01	1.2380	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	685	1	100.0	30
01/19/22	4:30 a	-1.2	-1.2	-1.7	78	-4.6	3.2	SSW	1.61	8.0	SSW	-1.9	-1.4	-2.1	---	1014.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.407	0.000	10.9	47	0.1	10.1	9.02	1.2376	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	686	1	100.0	30
01/19/22	5:00 a	-0.1	-0.1	-1.3	70	-4.9	6.4	SSW	3.22	14.5	SSE	-2.2	-0.3	-2.5	---	1014.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.383	0.000	10.9	47	0.0	10.1	9.02	1.2374	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	687	1	100.0	30
01/19/22	5:30 a	0.0	0.3	-0.2	67	-5.4	9.7	SSE	4.83	14.5	SSE	-3.2	-0.3	-3.6	---	1014.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.382	0.000	10.9	47	0.0	10.1	9.02	1.2376	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	693	1	100.0	30
01/19/22	6:00 a	-0.2	0.0	-0.3	64	-6.2	3.2	SSE	1.61	9.7	SSE	-0.8	-0.6	-1.2	---	1014.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.387	0.000	10.8	47	-0.0	10.0	9.02	1.2380	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	702	1	100.0	30
01/19/22	6:30 a	-1.3	-0.2	-1.3	67	-6.6	4.8	SSE	2.41	9.7	SSE	-2.9	-1.6	-3.3	---	1014.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.409	0.000	10.8	47	-0.0	10.0	9.02	1.2380	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	703	1	100.0	30
01/19/22	7:00 a	-1.1	-1.1	-1.6	67	-6.5	6.4	SSE	3.22	11.3	SSE	-3.4	-1.4	-3.8	---	1014.7	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.405	0.000	10.8	47	-0.1	9.9	9.02	1.2382	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	700	1	100.0	30
01/19/22	7:30 a	-0.8	-0.7	-1.1	64	-6.7	8.0	SE	4.02	22.5	SE	-3.7	-1.1	-4.0	---	1015.1	0.00	0.0	9	0.39	21	0.0	0.00	0.0	0.398	0.000	10.7	47	-0.2	9.8	9.03	1.2392	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
01/19/22	8:00 a	-1.1	-0.8	-1.1	66	-6.6	12.9	SSE	6.44	20.9	SE	-5.3	-1.4	-5.6	---	1015.0	0.00	0.0	58	2.49	100	0.0	0.00	0.0	0.404	0.000	10.7	46	-0.5	9.8	8.85	1.2393	---	---	---	---	---	0.03	---	---	---	---	---	---	---	---	---	---	---	---	702	1	100.0	30
01/19/22	8:30 a	-0.2	-0.2	-1.1	61	-6.8	8.0	SSE	4.02	16.1	SE	-3.0	-0.6	-3.4	---	1015.3	0.00	0.0	153	6.58	200	0.0	0.00	0.0	0.387	0.000	10.6	45	-0.8	9.8	8.73	1.2400	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	698	1	100.0	30
01/19/22	9:00 a	1.4	1.4	-0.2	56	-6.4	12.9	SE	6.44	20.9	SE	-2.2	1.0	-2.7	---	1015.5	0.00	0.0	221	9.50	271	0.0	0.00	0.0	0.352	0.000	10.6	46	-0.5	9.8	8.85	1.2401	---	---	---	---	---	0.10	---	---	---	---	---	---	---	---	---	---	---	---	689	1	100.0	30
01/19/22	9:30 a	3.2	3.2	1.3	58	-4.3	14.5	SSE	7.24	25.7	SSE	-0.4	2.7	-0.8	---	1015.4	0.00	0.0	332	14.28	427	0.2	0.04	0.5	0.316	0.000	10.6	46	-0.5	9.8	8.85	1.2400	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	702	1	100.0	30
01/19/22	10:00 a	3.8	3.8	3.1	53	-4.9	17.7	SE	8.85	25.7	SSE	-0.2	3.3	-0.7	---	1015.1	0.00	0.0	244	10.49	364	0.6	0.13	0.7	0.303	0.000	10.6	46	-0.5	9.8	8.85	1.2396	---	---	---	---	---	0.18	---	---	---	---	---	---	---	---	---	---	---	---	696	1	100.0	30
01/19/22	10:30 a	4.9	5.0	3.8	48	-5.2	19.3	SE	9.66	32.2	SE	1.1	4.3	0.4	---	1014.9	0.00	0.0	307	13.20	383	0.8	0.17	1.0	0.279	0.000	10.6	46	-0.5	9.8	8.85	1.2394	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	693	1	100.0	30
01/19/22	11:00 a	6.8	6.8	4.9	43	-4.9	22.5	SE	11.27	41.8	S	2.7	6.1	2.0	---	1014.5	0.00	0.0	465	20.00	577	1.1	0.24	1.2	0.241	0.000	10.6	46	-0.6	9.7	8.85	1.2392	---	---	---	---	---	0.25	---	---	---	---	---	---	---	---	---	---	---	---	700	1	100.0	30
01/19/22	11:30 a	7.6	7.6	6.7	48	-2.7	24.1	SE	12.07	40.2	SSE	3.5	6.9	2.8	---	1013.6	0.00	0.0	533	22.92	547	1.3	0.28	1.3	0.223	0.000	10.6	46	-0.6	9.7	8.85	1.2380	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	697	1	100.0	30
01/19/22	12:00 p	9.4	9.4	7.6	34	-5.7	32.2	SE	16.09	49.9	SSE	4.8	8.4	3.8	---	1012.7	0.00	0.0	557	23.95	564	1.4	0.30	1.4	0.186	0.000	10.6	45	-0.9	9.7	8.73	1.2372	---	---	---	---	---	0.38	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
01/19/22	12:30 p	10.7	10.8	9.4	31	-5.8	29.0	SE	14.48	48.3	SE	6.6	9.6	5.4	---	1012.4	0.00	0.0	566	24.34	570	1.4	0.30	1.4	0.159	0.000	10.6	45	-0.9	9.7	8.73	1.2367	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
01/19/22	1:00 p	11.3	11.3	10.7	29	-6.1	32.2	SSE	16.09	46.7	SSE	6.9	9.9	5.6	---	1011.4	0.00	0.0	548	23.57	608	1.3	0.28	1.4	0.147	0.000	10.6	44	-1.2	9.7	8.53	1.2357	---	---	---	---	---	0.48	---	---	---	---	---	---	---	---	---	---	---	---	695	1	100.0	30
01/19/22	1:30 p	11.9	12.0	11.2	28	-6.0	29.0	SSE	14.48	49.9	SE	7.9	10.4	6.4	---	1011.0	0.00	0.0	548	23.57	573	1.3	0.28	1.3	0.133	0.000	10.6	43	-1.5	9.7	8.41	1.2351	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
01/19/22	2:00 p	12.4	12.6	11.9	25	-7.1	33.8	SSE	16.90	51.5	SSE	8.1	10.7	6.3	---	1010.5	0.00	0.0	508	21.85	526	1.1	0.24	1.2	0.123	0.000	10.6	43	-1.5	9.7	8.41	1.2345	---	---	---	---	---	0.51	---	---	---	---	---	---	---	---	---	---	---	---	697	1	100.0	30
01/19/22	2:30 p	12.9	13.1	12.4	25	-6.7	32.2	SSE	16.09	48.3	SSE	8.7	11.1	6.9	---	1010.0	0.00	0.0	462	19.87	487	0.9	0.19	1.0	0.113	0.000	10.6	43	-1.5	9.7	8.41	1.2339	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	700	1	100.0	30
01/19/22	3:00 p	13.2	13.2	12.8	26	-5.9	30.6	SE	15.29	48.3	SE	9.2	11.3	7.3	---	1009.6	0.00	0.0	405	17.42	434	0.7	0.15	0.8	0.108	0.000	10.6	42	-1.8	9.7	8.23	1.2335	---	---	---	---	---	0.48	---	---	---	---	---	---	---	---	---	---	---	---	693	1	100.0	30
01/19/22	3:30 p	13.4	13.4	13.2	26	-5.8	30.6	SE	15.29	48.3	SSE	9.4	11.5	7.6	---	1009.4	0.00	0.0	340	14.62	373	0.4	0.09	0.6	0.103	0.000	10.6	42	-1.8	9.7	8.23	1.2332	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	698	1	100.0	30
01/19/22	4:00 p	13.4	13.6	13.4	28	-4.7	25.7	SE	12.87	49.9	SE	9.9	11.7	8.2	---	1009.2	0.00	0.0	265	11.40	302	0.0	0.00	0.0	0.102	0.000	10.6	42	-1.8	9.7	8.23	1.2333	---	---	---	---	---	0.38	---	---	---	---	---	---	---	---	---	---	---	---	696	1	100.0	30
01/19/22	4:30 p	13.2	13.6	13.1	27	-5.5	22.5	SE	11.27	40.2	SSE	10.0	11.3	8.2	---	1008.9	0.00	0.0	172	7.40	220	0.0	0.00	0.0	0.108	0.000	10.6	42	-1.8	9.7	8.23	1.2330	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	701	1	100.0	30
01/19/22	5:00 p	12.3	13.2	12.3	30	-4.8	24.1	SE	12.07	43.5	SE	8.8	10.8	7.3	---	1008.7	0.00	0.0	79	3.40	132	0.0	0.00	0.0	0.125	0.000	10.6	41	-2.2	9.6	8.11	1.2328	---	---	---	---	---	0.25	---	---	---	---	---	---	---	---	---	---	---	---	695	1	100.0	30
01/19/22	5:30 p	10.9	12.4	10.9	41	-1.8	22.5	SE	11.27	43.5	SE	7.5	9.9	6.5	---	1008.3	0.00	0.0	11	0.47	32	0.0	0.00	0.0	0.154	0.000	10.6	42	-1.8	9.7	8.23	1.2322	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
01/19/22	6:00 p	10.6	11.0	10.5	41	-2.2	20.9	SE	10.46	41.8	SE	7.2	9.6	6.3	---	1008.5	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.162	0.000	10.4	43	-1.6	9.6	8.42	1.2328	---	---	---	---	---	0.15	---	---	---	---	---	---	---	---	---	---	---	---	703	1	100.0	30
01/19/22	6:30 p	10.3	10.6	10.3	44	-1.4	19.3	SE	9.66	32.2	SE	7.2	9.5	6.4	---	1008.4	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.167	0.000	10.4	43	-1.7	9.6	8.42	1.2330	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
